,Index,T cell,CD8,CL,BL,FB,ML,NK,NP,EC,MD
0,TCGA-W5-AA2H-01A,0.4195806300465005,1.3476370369609645,-0.43693333926620864,1.8441285659335256,0.6651581089003812,1.5296543880620173,0.26249937407670454,0.9296818664026057,-1.0278929666530001,1.2902372535424227
1,TCGA-W5-AA2T-01A,0.7008967477335105,2.3340183300095414,1.9674362172475945,1.9940451775692754,0.6281178754534781,2.929991024244894,-0.08930108269433919,1.1074786064243933,0.11438773495267,2.0079926912220727
2,TCGA-YR-A95A-01A,-1.0201684116120446,2.1035396822355072,-1.7546946446287848,-0.2419304344424781,-1.814236569367984,0.4790738425527551,-3.566653998379243,-1.6982329504319962,-2.2383726941701982,-0.15480745987531355
3,TCGA-W5-AA31-01A,-0.32831460820576797,1.073114952271946,-0.7588265672920086,-0.10457633530396383,0.10325249623234328,0.32356608953194105,-1.8625599119608645,-0.9487935789748486,-2.0522550618134563,0.21385670954451097
4,TCGA-W5-AA2Z-01A,-1.4843231167955186,1.816759199104668,-0.9460242932468518,-0.06808097938243583,-1.4961110476221164,1.0093631234115166,-2.289440732059023,-1.9473661443907555,-2.6257986157549293,-0.27273259583368115
5,TCGA-W5-AA2I-01A,1.3662631733935378,4.695203428260123,3.3737562025042953,3.6334206770706805,-0.901469791561042,1.110201802928083,1.1882522439644234,1.9098289787421314,1.1724843214720058,2.6617539602199227
6,TCGA-W5-AA33-01A,-0.6324388793411763,0.0663206863093569,-0.8552471454755803,0.15426051642581465,-0.7962414376383442,0.0670425637020285,-0.6970932298230901,-0.614112893535181,-0.9934580945054582,1.65716922621179
7,TCGA-3X-AAV9-01A,0.9196298754457303,1.2779728650062523,1.691746387348177,2.042047521968916,0.3569358406869386,1.3843865295029574,0.25490275586470573,1.2358217673161283,0.21500908452563225,1.3080625161180355
8,TCGA-3X-AAVE-01A,-1.5675856623199185,0.1072078898613396,-2.1711412270017907,-0.2790396469320818,-1.1946064870826871,0.9876881929505427,-3.045136816379574,-1.7910381852329522,-2.350990048528502,0.7854837528611455
9,TCGA-WD-A7RX-01A,-1.0244967362797581,1.150288586918389,-0.7663500968407991,0.43469812661049023,-0.9791666978846173,1.5003215245862538,-3.3380349086810313,-0.6563049051547994,-2.169481980663651,1.3738518520068155
10,TCGA-W5-AA2G-01A,-0.18247345352713767,0.0679973325099889,0.7505810470840787,1.2800373053652623,-0.39252439110331994,1.4444747154582163,-0.4746479895284944,0.13352891093735414,-0.6398997335497344,2.3542612485892387
11,TCGA-ZH-A8Y2-01A,-1.0834986035968428,0.7896141333216291,-0.3839240296195818,0.6788240223437936,-0.5878194828535777,1.17815882035509,-1.5319977172425587,0.1384602978801625,-1.6404793268230646,1.4771515709357528
12,TCGA-W5-AA2O-01A,0.4544045188719305,0.0761454778242457,-0.026751720380298747,1.1067500798109693,-0.1797495372410382,1.5239084465463064,-0.7889537221219018,-0.5242177741052078,-0.902561418086384,1.3359407973436699
13,TCGA-ZD-A8I3-01A,-1.6490485453942774,0.4717016454284646,-0.9238114057483368,0.04024953911325735,-0.6550450933703569,1.4819673159595543,-2.0683931255964625,-0.13350112180898438,-1.9011121007150893,0.49670946512609504
14,TCGA-W6-AA0S-01A,-1.0444385547545534,-0.6950343026647783,-0.6065052742600513,-0.5304491222714238,-1.2760834556334268,-0.8019701002259964,-2.5955474920530097,-1.1003266321854568,-1.8612508562077599,0.14918678987041661
15,TCGA-4G-AAZO-01A,1.3054929588812796,1.8532352791863893,2.3408853337140214,2.888328011081041,-0.04385164622815327,2.546423300965956,1.4137695938483321,2.2684145644743015,0.4581937198568586,2.5805637510583885
16,TCGA-ZH-A8Y6-01A,0.8902043630994473,1.3525494582525053,1.7114813002149794,2.2360454670853853,0.3359988031342669,1.8433742259081722,1.1304723528440868,0.8671348667379668,0.3405513567071153,1.616687279773167
17,TCGA-W5-AA39-01A,-0.5259342628159277,3.3261173248047173,0.814838807484566,1.483198707043752,-0.2533832263462287,1.6681994862835527,-0.6208278138076672,1.3603687623595284,-0.5186089826080545,1.9744179091685012
18,TCGA-W5-AA2W-01A,-2.085687726719549,1.273205032482203,-0.2702049850251355,-0.22656144366541614,-1.176983328375062,1.4303739857196158,-1.92590899966403,-0.6301143649397751,-1.9645000204070997,0.10627192708680498
19,TCGA-W5-AA30-01A,-0.978670446273686,1.5408056022563832,-0.2785807640696839,-0.33333265520118677,-1.1688952342602292,0.14011893019479263,-1.1322359314245625,-1.7223255328968887,-1.8639075474406865,0.11405413932051127
20,TCGA-W5-AA2R-01A,-1.2884810937251538,2.341517330308996,-1.60132047639936,-0.4478208381959209,-0.37976686210316246,0.2501214659246144,-2.1869711436937522,-1.2996234816771945,-2.4731892482425826,0.1261706239529473
21,TCGA-3X-AAVA-01A,-0.4723656467299867,0.9846594060712276,-0.2609815908862988,0.9758086639075062,-0.21073142935110897,1.838854326995721,-1.2617571235624192,-0.7601016921691296,-1.3295894124183896,0.9639503945735678
22,TCGA-W5-AA2Q-01A,-0.7349619082187664,-0.293518324339201,-0.06165353309665278,-0.10504132549359764,-0.49828880763483646,1.1918393002832015,-2.3307556379190504,-0.9416214416699141,-1.7663333803274928,1.2471168141047497
23,TCGA-W5-AA2X-01A,-0.8280013578883657,1.4530679718317057,-0.21278874739378287,0.7896382834718096,-0.47112901508418303,2.0315506982646085,-1.730846928008872,-1.0537443117535656,-1.4517456503520971,1.473003635960321
24,TCGA-3X-AAVB-01A,-2.39130829846494,0.5862178338801851,-1.2005305797380104,-1.05750455140307,-1.2137666252897121,-0.6240345427252836,-4.3340258481264184,-1.733046458969013,-2.8965797676667804,-0.8164397138657188
25,TCGA-ZH-A8Y8-01A,-0.27891660728045126,0.6942711474374376,1.3175401334014387,1.3392366978706047,-0.5516173768337778,1.203202858949545,-0.7858640986956799,0.2550537301445968,-0.9249045294294728,1.4210087760241343
26,TCGA-4G-AAZT-01A,-1.1685930319072024,0.1450405688671312,-1.2934474285690065,-0.056674157375617346,-0.6443211805680522,0.7526345196814018,-1.94787988107998,-1.0246383456701669,-2.2528893686092655,0.9855768764814586
27,TCGA-W5-AA2U-01A,-0.15149554304328655,0.9715498988263817,0.0025943482313318506,1.192582060706644,-0.18071208384135387,1.4779610745790497,0.5541964680093622,0.6182571932780535,-0.7930640809875147,1.8202227902360668
28,TCGA-ZH-A8Y4-01A,-0.3814317846361253,1.2312804907140609,-0.928596296269449,0.11324250972447213,-0.2313965167297174,0.1422913104835381,-1.0834840737898377,-0.5564339896494579,-1.6359326812290367,0.17056333381490027
29,TCGA-3X-AAVC-01A,0.8606937700969436,0.6652831134188937,2.099202598938993,2.286704916367693,0.5961951388596712,1.6387229565231212,0.25386524736916316,0.6241189273589571,-0.23585768157092632,1.4575862463634535
30,TCGA-W5-AA36-01A,-1.0743051973630033,0.634519705348302,0.9242011629414887,0.9668735383663969,-1.6891628077379597,0.7037023445276748,-1.1935999630410126,-0.003927517208517213,-1.4093711680400702,1.0139394883568913
31,TCGA-W5-AA34-01A,-0.4390885013206708,0.2860764920517562,0.34594027110669806,0.6139786388800267,-0.9415529288106532,1.095657523444306,-0.4194105515948018,-0.17178705369851724,-1.3074906755135802,0.830316799255117
32,TCGA-ZU-A8S4-01A,-0.6631939716805111,1.548175109362386,0.08308288679818965,0.16589941762757077,-0.8309359783062765,1.8080938500740922,-1.9588035233441068,-0.7833590877293385,-2.035067964624335,0.7340330939089071
33,TCGA-ZH-A8Y5-01A,0.2230755842822196,1.5143708168889838,0.00687192726110191,0.7603554387215722,1.5225434265112647,2.410033216715745,-0.7762769996308201,-0.04855258635218397,-1.0565997741217594,1.2755170961662465
34,TCGA-W5-AA38-01A,1.0038237173649711,2.4700169388421886,1.6268769203489222,2.267836205217039,0.07186480323730365,1.5409053278640445,0.08955871120346814,1.2492891788751759,0.3666839685230783,1.5429243382786935
35,TCGA-ZH-A8Y1-01A,0.5341100822898902,1.440463047314635,0.8884064987662127,1.666666974007607,0.39193107760963564,1.4981373372135136,0.9574532145913438,1.1388878526027113,-0.26947539950902,1.422241146808834
